genre_id,genre_name
16,Animation
35,Comedy
10751,Family
12,Adventure
14,Fantasy
10749,Romance
18,Drama
28,Action
80,Crime
53,Thriller
27,Horror
36,History
878,Science Fiction
9648,Mystery
10752,War
10769,Foreign
10402,Music
99,Documentary
37,Western
10770,TV Movie
11176,Carousel Productions
11602,Vision View Entertainment
29812,Telescene Film Group Productions
2883,Aniplex
7759,GoHands
7760,BROSTA TV
7761,Mardock Scramble Production Committee
33751,Sentai Filmworks
17161,Odyssey Media
18012,Pulser Productions
18013,Rogue State
23822,The Cartel
